city,year,Date_Quarter,bedrooms_count,average_rate_per_night,latitude,longitude,counties,zipcodes,TotalPop,Income,Poverty
Humble,2016,Second,2,$27,30.0201379199512,-95.29399600425128,Harris County,77338,4525519,57791,16.8
Houston,2017,First,1,$59,29.829352227214898,-95.0815494887563,Harris County,77049,4525519,57791,16.8
Houston,2017,First,4,$1500,29.954680087782503,-95.1760702862707,Harris County,77044,4525519,57791,16.8
Katy,2017,First,4,$2999,29.8238021572358,-95.7306365899502,Harris County,77449,4525519,57791,16.8
Katy,2016,Third,3,$165,29.7665527064473,-95.78319239378192,Harris County,77494,4525519,57791,16.8
Katy,2017,First,1,$65,29.7809173772544,-95.7949451191589,Harris County,77494,4525519,57791,16.8
Houston,2016,Third,1,$650,29.793379870018395,-95.1964005238801,Harris County,77015,4525519,57791,16.8
Houston,2017,First,1,$75,29.729390998833104,-95.31251441047571,Harris County,77023,4525519,57791,16.8
Houston,2016,Third,1,$88,29.8262783359522,-95.0782393406197,Harris County,77049,4525519,57791,16.8
Houston,2017,First,1,$35,29.703897011006895,-95.6639534141498,Harris County,77083,4525519,57791,16.8
Pasadena,2015,Third,3,$850,29.6473225090572,-95.13905354682127,Harris County,77505,4525519,57791,16.8
Humble,2016,First,2,$100,30.019379768387104,-95.3081879543499,Harris County,77338,4525519,57791,16.8
Humble,2017,First,3,$81,30.000942588552,-95.25816793356572,Harris County,77338,4525519,57791,16.8
Houston,2016,Second,1,$38,29.6894518062607,-95.3932525448847,Harris County,77054,4525519,57791,16.8
Houston,2017,First,1,$45,29.688898609425696,-95.39527325804808,Harris County,77054,4525519,57791,16.8
Houston,2017,First,2,$150,29.536286005939303,-95.0866965595521,Harris County,77058,4525519,57791,16.8
Spring,2016,Fourth,3,$115,30.050417372472896,-95.34459326466428,Harris County,77373,4525519,57791,16.8
La Porte,2017,First,3,$800,29.6679832526087,-95.08367585372592,Harris County,77571,4525519,57791,16.8
Houston,2016,First,1,$35,30.036835722653898,-95.22608776661752,Harris County,77339,4525519,57791,16.8
Humble,2014,Fourth,4,$200,29.9295383838455,-95.250962378514,Harris County,77396,4525519,57791,16.8
Baytown,2013,Fourth,1,$48,29.7458466093416,-94.9635595289327,Harris County,77520,4525519,57791,16.8
Houston,2013,First,2,$1000,29.6979912705294,-95.2989319579218,Harris County,77087,4525519,57791,16.8
Houston,2015,First,Studio,$63,29.6930015769899,-95.2647797083077,Harris County,77017,4525519,57791,16.8
Houston,2015,Third,1,$60,29.7556192172444,-95.3494533308532,Harris County,77003,4525519,57791,16.8
Houston,2017,First,2,$400,29.6921713295803,-95.2783470236139,Harris County,77017,4525519,57791,16.8
Houston,2017,Second,Studio,$55,29.7264359509513,-95.3192133817478,Harris County,77023,4525519,57791,16.8
Humble,2016,First,3,$175,29.9865691217172,-95.228183855981,Harris County,77338,4525519,57791,16.8
Houston,2013,Second,3,$92,29.6465198030577,-95.4892127820601,Harris County,77035,4525519,57791,16.8
Houston,2014,Second,3,$200,29.7448511701914,-95.38589968635708,Harris County,77006,4525519,57791,16.8
Houston,2014,Fourth,Studio,$77,29.7405197238513,-95.40024893306509,Harris County,77006,4525519,57791,16.8
Houston,2016,Fourth,1,$86,29.754844815895,-95.3891310070163,Harris County,77019,4525519,57791,16.8
Houston,2015,Third,1,$55,29.7275804837081,-95.44585328261353,Harris County,77027,4525519,57791,16.8
Houston,2014,Fourth,Studio,$80,29.7460338423745,-95.384809764674,Harris County,77006,4525519,57791,16.8
Houston,2015,Second,1,$55,29.674389322926302,-95.4953603750262,Harris County,77096,4525519,57791,16.8
Houston,2016,Fourth,2,$600,29.7467838387212,-95.336104748711,Harris County,77003,4525519,57791,16.8
Seabrook,2014,Third,1,$70,29.5830746197614,-95.0142029884953,Harris County,77586,4525519,57791,16.8
Houston,2016,Fourth,1,$140,29.770731644544,-95.3722039787533,Harris County,77007,4525519,57791,16.8
Houston,2016,Second,1,$40,29.680862607147898,-95.4187021642165,Harris County,77054,4525519,57791,16.8
Houston,2014,Second,1,$51,29.582313231976105,-95.1456904463122,Harris County,77062,4525519,57791,16.8
Houston,2017,First,1,$90,29.7340555178507,-95.4002976297431,Harris County,77098,4525519,57791,16.8
Houston,2017,Second,2,$73,29.6923582744961,-95.2488542471964,Harris County,77017,4525519,57791,16.8
Houston,2013,Second,1,$80,29.7541629395603,-95.3454287242847,Harris County,77003,4525519,57791,16.8
Houston,2015,Second,1,$73,29.7532561029389,-95.4586631445655,Harris County,77056,4525519,57791,16.8
Houston,2016,First,Studio,$69,29.7377184204677,-95.3286185587633,Harris County,77023,4525519,57791,16.8
Houston,2017,Second,1,$75,29.6718363058986,-95.4234762765994,Harris County,77025,4525519,57791,16.8
Crosby,2015,Fourth,3,$51,29.9154605054204,-95.0992445076658,Harris County,77532,4525519,57791,16.8
La Porte,2016,Third,1,$55,29.625682464758395,-95.0122635694232,Harris County,77571,4525519,57791,16.8
Houston,2014,Third,1,$64,29.746224258332,-95.3922064345429,Harris County,77006,4525519,57791,16.8
Houston,2017,First,5,$2700,29.8234493043585,-95.1830499858428,Harris County,77049,4525519,57791,16.8
Humble,2014,Second,2,$250,30.010904590798106,-95.15703020529791,Harris County,77346,4525519,57791,16.8
Spring,2015,Second,4,$169,30.079483151111603,-95.39830172306542,Harris County,77373,4525519,57791,16.8
Humble,2017,Second,4,$160,29.9974817782272,-95.1472564328718,Harris County,77346,4525519,57791,16.8
Humble,2016,Fourth,1,$27,29.9963021066533,-95.2687710107982,Harris County,77338,4525519,57791,16.8
Houston,2016,Second,3,$250,29.7033232158394,-95.2932893221637,Harris County,77087,4525519,57791,16.8
Baytown,2016,Fourth,4,$1200,29.8123302938428,-94.9291390611699,Harris County,77523,4525519,57791,16.8
Humble,2017,First,1,$89,29.9972706041974,-95.14525940369492,Harris County,77346,4525519,57791,16.8
Spring,2016,Second,1,$330,30.0715271493367,-95.3705453633297,Harris County,77373,4525519,57791,16.8
