city,year,Date_Quarter,bedrooms_count,average_rate_per_night,latitude,longitude,counties,zipcodes
Humble,2016,Second,2,$27,30.0201379199512,-95.29399600425128,Harris County,77338
Houston,2017,First,1,$59,29.829352227214898,-95.0815494887563,Harris County,77049
Bryan,2016,First,1,$60,30.6373042787676,-96.33784597296308,Brazos County,77802
Fort Worth,2017,First,2,$75,32.7470973543511,-97.2864343970125,Tarrant County,76103
Conroe,2016,Third,4,$250,30.370455202614004,-95.38531903586781,Montgomery County,77303
Cedar Creek,2016,First,3,$129,30.109838308143,-97.47341691286819,Bastrop County,78612
Fort Worth,2016,First,1,$25,32.6896114095237,-97.29816086056499,Tarrant County,76115
Rockport,2016,First,3,$345,28.1037257224157,-97.025832094037,Aransas County,78358
San Antonio,2013,Third,Studio,$72,29.480646154747895,-98.4956917207437,Bexar County,78212
Irving,2015,Third,1,$65,32.8621160084978,-97.0026429124416,Dallas County,75038
Euless,2014,Third,1,$116,32.865348324183195,-97.0810343348168,Tarrant County,76039
San Antonio,2017,Second,1,$110,29.6690314042162,-98.4183517679751,Bexar County,78261
Kerrville,2016,Third,2,$175,30.0736670299709,-99.1613652179931,Kerr County,78028
New Braunfels,2017,Second,2,$88,29.642810974823103,-98.1144006594656,Guadalupe County,
Austin,2015,Fourth,2,$82,30.3095220042058,-97.73171047109501,Travis County,78751
Port Aransas,2017,First,1,$275,27.8171755178407,-97.0680901451661,Nueces County,78373
Houston,2017,First,4,$1500,29.954680087782503,-95.1760702862707,Harris County,77044
Frisco,2014,Fourth,2,$250,33.1557762184237,-96.9304385019675,Denton County,75036
Katy,2017,First,4,$2999,29.8238021572358,-95.7306365899502,Harris County,77449
College Station,2015,Third,3,$350,30.546703842584897,-96.28285308541821,Brazos County,77845
Katy,2016,Third,3,$165,29.7665527064473,-95.78319239378192,Harris County,77494
Katy,2016,Third,1,$65,29.740703522799603,-95.82587851318192,Fort Bend County,77494
Denton,2015,Fourth,Studio,$100,33.2161402649842,-97.13775674563091,Denton County,76201
Richmond,2017,First,1,$36,29.695526637473197,-95.69011086442491,Fort Bend County,77407
Katy,2017,First,1,$65,29.7809173772544,-95.7949451191589,Harris County,77494
Austin,2015,Third,1,$110,30.244296163892898,-97.7744685806115,Travis County,78704
Houston,2016,Third,1,$650,29.793379870018395,-95.1964005238801,Harris County,77015
Plano,2016,Third,3,$194,33.0849532940703,-96.78346949481121,Collin County,75024
Houston,2017,First,1,$75,29.729390998833104,-95.31251441047571,Harris County,77023
Arlington,2016,Third,Studio,$81,32.770389542170804,-97.0900119842005,Tarrant County,76011
